t,x_1,y_1,z_1,v_x_1,v_y_1,v_z_1,x_2,y_2,z_2,v_x_2,v_y_2,v_z_2
129060.00000000,3747670.58029722,799069.59532428,-5685675.60464822,6384.87435148,-580.01572310,4127.02631462,-3747670.58029716,-799069.59532429,5685675.60464826,-6384.87435148,580.01572310,-4127.02631462
129120.00000000,4122139.75985808,762516.42579419,-5425586.28891664,6092.80042455,-637.97119365,4539.40091505,-4122139.75985802,-762516.42579420,5425586.28891668,-6092.80042455,637.97119365,-4539.40091505
129180.00000000,4478264.25721817,722569.84354184,-5141351.58704549,5773.61182077,-693.08751282,4931.57390368,-4478264.25721811,-722569.84354184,5141351.58704553,-5773.61182077,693.08751282,-4931.57390368
129240.00000000,4814459.21812481,679407.62210212,-4834236.42346251,5428.72901928,-745.11939747,5301.80000034,-4814459.21812475,-679407.62210213,4834236.42346256,-5428.72901928,745.11939747,-5301.80000034
129300.00000000,5129228.48037258,633221.84550941,-4505607.54708990,5059.68684561,-793.83529108,5648.43159468,-5129228.48037253,-633221.84550942,4505607.54708996,-5059.68684561,793.83529108,-5648.43159468
129360.00000000,5421171.23214540,584218.05346958,-4156927.44892767,4668.12764132,-839.01839419,5969.92607855,-5421171.23214536,-584218.05346958,4156927.44892773,-4668.12764132,839.01839419,-5969.92607855
129420.00000000,5688988.24602391,532614.32665045,-3789747.85355668,4255.79395507,-880.46762929,6264.85271100,-5688988.24602387,-532614.32665046,3789747.85355674,-4255.79395507,880.46762929,-6264.85271100
129480.00000000,5931487.66091341,478640.31616137,-3405702.81352703,3824.52078783,-917.99853561,6531.89898551,-5931487.66091337,-478640.31616138,3405702.81352709,-3824.52078783,917.99853561,-6531.89898551
129540.00000000,6147590.28616058,422536.22154124,-3006501.43736515,3376.22742659,-951.44409006,6769.87647097,-6147590.28616055,-422536.22154125,3006501.43736522,-3376.22742659,951.44409006,-6769.87647097
129600.00000000,6336334.40425603,364551.72180290,-2593920.28355940,2912.90890299,-980.65545050,6977.72610061,-6336334.40425601,-364551.72180291,2593920.28355947,-2912.90890299,980.65545050,-6977.72610061
129660.00000000,6496880.05074811,304944.86429120,-2169795.45437414,2436.62711486,-1005.50261816,7154.52288506,-6496880.05074808,-304944.86429121,2169795.45437421,-2436.62711486,1005.50261816,-7154.52288506
129720.00000000,6628512.75232062,243980.91629977,-1736014.42467895,1949.50165023,-1025.87501615,7299.48002887,-6628512.75232060,-243980.91629978,1736014.42467902,-1949.50165023,1025.87501615,-7299.48002887
129780.00000000,6730646.70640059,181931.18455687,-1294507.64215344,1453.70035452,-1041.68198156,7411.95243194,-6730646.70640057,-181931.18455688,1294507.64215352,-1453.70035452,1041.68198156,-7411.95243194
129840.00000000,6802827.38814441,119071.80783407,-847239.93625211,951.42968306,-1052.85316895,7491.43956043,-6802827.38814440,-119071.80783408,847239.93625218,-951.42968306,1052.85316895,-7491.43956043
129900.00000000,6844733.57320150,55682.52805094,-396201.77415944,444.92488171,-1059.33886338,7537.58767425,-6844733.57320150,-55682.52805095,396201.77415951,-444.92488171,1059.33886338,-7537.58767425
129960.00000000,6856178.76725288,-7954.55465513,56599.59734819,-63.55996060,-1061.11020170,7550.19140129,-6856178.76725288,7954.55465512,-56599.59734812,63.55996060,1061.11020170,-7550.19140129
130020.00000000,6837112.03596353,-71556.23735397,509149.08471619,-571.76194319,-1058.15930095,7529.19465142,-6837112.03596354,71556.23735396,-509149.08471612,571.76194319,1058.15930095,-7529.19465142
130080.00000000,6787618.23165443,-134839.47465549,959432.71534588,-1077.41942421,-1050.49929346,7474.69086609,-6787618.23165444,134839.47465548,-959432.71534581,1077.41942421,1050.49929346,-7474.69086609
130140.00000000,6707917.61568591,-197522.63834118,1405446.60033825,-1578.28208552,-1038.16426844,7386.92260248,-6707917.61568593,197522.63834117,-1405446.60033818,1578.28208552,1038.16426844,-7386.92260248
130200.00000000,6598364.87823262,-259326.77068901,1845205.85236423,-2072.12094730,-1021.20912020,7266.28045408,-6598364.87823264,259326.77068900,-1845205.85236416,2072.12094730,1021.20912020,-7266.28045408
130260.00000000,6459447.55981223,-319976.82591392,2276753.41897248,-2556.73828763,-999.70930393,7113.30131240,-6459447.55981225,319976.82591391,-2276753.41897241,2556.73828763,999.70930393,-7113.30131240
130320.00000000,6291783.88159316,-379202.89419880,2698168.79202260,-3029.97742292,-973.76049988,6928.66597768,-6291783.88159319,379202.89419879,-2698168.79202253,3029.97742292,973.76049988,-6928.66597768
130380.00000000,6096119.99413633,-436741.40286925,3107576.55448746,-3489.73230583,-943.47818751,6713.19612913,-6096119.99413636,436741.40286924,-3107576.55448739,3489.73230583,943.47818751,-6713.19612913
130440.00000000,5873326.65681475,-492336.28936622,3503154.72658736,-3933.95689771,-908.99713164,6467.85066822,-5873326.65681479,492336.28936621,-3503154.72658730,3933.95689771,908.99713164,-6467.85066822
130500.00000000,5624395.36268981,-545740.14079633,3883142.87411189,-4360.67427410,-870.47078268,6193.72145132,-5624395.36268986,545740.14079632,-3883142.87411183,4360.67427410,870.47078268,-6193.72145132
130560.00000000,5350433.92608784,-596715.29498898,4245849.94284813,-4767.98542255,-828.07059373,5892.02843060,-5350433.92608789,596715.29498897,-4245849.94284808,4767.98542255,828.07059373,-5892.02843060
130620.00000000,5052661.55251411,-645034.89815994,4589661.78424843,-5154.07769382,-781.98525755,5564.11422491,-5052661.55251416,645034.89815993,-4589661.78424838,5154.07769382,781.98525755,-5564.11422491
130680.00000000,4732403.41284590,-690483.91447444,4913048.33884479,-5517.23286862,-732.41986687,5211.43814478,-4732403.41284595,690483.91447444,-4913048.33884474,5517.23286862,732.41986687,-5211.43814478
130740.00000000,4391084.74594877,-732860.08301721,5214570.44544467,-5855.83480420,-679.59500162,4835.56969803,-4391084.74594883,732860.08301721,-5214570.44544462,5855.83480420,679.59500162,-4835.56969803
130800.00000000,4030224.51596199,-771974.81791054,5492886.24580374,-6168.37662665,-623.74574733,4438.18160504,-4030224.51596205,771974.81791054,-5492886.24580370,6168.37662665,623.74574733,-4438.18160504
130860.00000000,3651428.65248140,-807654.04757441,5746757.15627201,-6453.46743688,-565.12064890,4021.04235468,-3651428.65248146,807654.04757440,-5746757.15627197,6453.46743688,565.12064890,-4021.04235468
130920.00000000,3256382.90372014,-839738.98939408,5975053.37984018,-6709.83850054,-503.98060451,3586.00833403,-3256382.90372021,839738.98939408,-5975053.37984015,6709.83850054,503.98060451,-3586.00833403
130980.00000000,2846845.33445494,-868086.85634743,6176758.93405417,-6936.34889424,-440.59770458,3135.01556693,-2846845.33445501,868086.85634742,-6176758.93405414,6936.34889424,440.59770458,-3135.01556693
131040.00000000,2424638.50214229,-892571.49244737,6350976.17242330,-7131.99058297,-375.25402085,2670.07109814,-2424638.50214236,892571.49244737,-6350976.17242327,7131.99058297,375.25402085,-2670.07109814
131100.00000000,1991641.34602579,-913083.93417150,6496929.77919936,-7295.89290614,-308.24035110,2193.24406141,-1991641.34602586,913083.93417150,-6496929.77919934,7295.89290614,308.24035110,-2193.24406141
131160.00000000,1549780.82532720,-929532.89538045,6613970.21975022,-7427.32645229,-239.85492502,1706.65647126,-1549780.82532727,929532.89538045,-6613970.21975020,7427.32645229,239.85492502,-1706.65647126
131220.00000000,1101023.34373488,-941845.17356693,6701576.63117184,-7525.70630513,-170.40207702,1212.47377945,-1101023.34373495,941845.17356693,-6701576.63117183,7525.70630513,170.40207702,-1212.47377945
131280.00000000,647365.99835503,-949965.97562742,6759359.14027455,-7590.59464664,-100.19089181,712.89523803,-647365.99835510,949965.97562742,-6759359.14027454,7590.59464664,100.19089181,-712.89523803
131340.00000000,190827.69206690,-953859.16170698,6787060.59862862,-7621.70270543,-29.53382893,210.14411215,-190827.69206697,953859.16170698,-6787060.59862862,7621.70270543,29.53382893,-210.14411215
131400.00000000,-266559.85116388,-953507.40603172,6784557.72694721,-7618.89204187,41.25466780,-293.54221418,266559.85116381,953507.40603172,-6784557.72694722,7618.89204187,-41.25466780,293.54221418
131460.00000000,-722761.12802769,-948912.27401341,6751861.66371378,-7582.17516422,111.85956965,-795.92219504,722761.12802762,948912.27401341,-6751861.66371379,7582.17516422,-111.85956965,795.92219504
131520.00000000,-1175745.91443413,-940094.21528294,6689117.91561279,-7511.71547292,181.96666493,-1294.76009810,1175745.91443406,940094.21528294,-6689117.91561280,7511.71547292,-181.96666493,1294.76009810
131580.00000000,-1623498.30058127,-927092.47268370,6596605.70998388,-7407.82653341,251.26395733,-1787.83595428,1623498.30058120,927092.47268370,-6596605.70998390,7407.82653341,-251.26395733,1787.83595428
131640.00000000,-2064025.66232054,-909964.90762988,6474736.75218178,-7270.97068074,319.44305439,-2272.95543724,2064025.66232047,909964.90762988,-6474736.75218180,7270.97068074,-319.44305439,2272.95543724
131700.00000000,-2495367.52889562,-888787.74260693,6324053.39337154,-7101.75696195,386.20053995,-2747.95962872,2495367.52889555,888787.74260693,-6324053.39337156,7101.75696195,-386.20053995,2747.95962872
131760.00000000,-2915604.30758972,-863655.22195997,6145226.21691297,-6900.93842574,451.23932440,-3210.73462639,2915604.30758965,863655.22195997,-6145226.21691301,6900.93842574,-451.23932440,3210.73462639
131820.00000000,-3322865.82645231,-834679.19248001,5939051.05407634,-6669.40877110,514.26996685,-3659.22095123,3322865.82645225,834679.19248001,-5939051.05407638,6669.40877110,-514.26996685,3659.22095123
131880.00000000,-3715339.65709134,-801988.60565420,5706445.44236903,-6408.19837018,575.01196319,-4091.42271287,3715339.65709128,801988.60565421,-5706445.44236907,6408.19837018,-575.01196319,4091.42271287
131940.00000000,-4091279.18049016,-765728.94379540,5448444.54223503,-6118.46968278,633.19499444,-4505.41649181,4091279.18049010,765728.94379541,-5448444.54223508,6118.46968278,-633.19499444,4505.41649181
132000.00000000,-4449011.35995281,-726061.57260499,5166196.53030023,-5801.51208311,688.56012974,-4899.35989922,4449011.35995276,726061.57260500,-5166196.53030028,5801.51208311,-688.56012974,4899.35989922
132060.00000000,-4786944.18658887,-683163.02305005,4860957.48966282,-5458.73612170,740.86097866,-5271.49977603,4786944.18658882,683163.02305006,-4860957.48966288,5458.73612170,-740.86097866,5271.49977603
132120.00000000,-5103573.76420085,-637224.20575089,4534085.81997021,-5091.66724807,789.86478768,-5620.17999506,5103573.76420080,637224.20575090,-4534085.81997026,5091.66724807,-789.86478768,5620.17999506
132180.00000000,-5397491.00204609,-588449.56137496,4187036.19215766,-4701.93902202,835.35347608,-5943.84883119,5397491.00204604,588449.56137497,-4187036.19215772,4701.93902202,-835.35347608,5943.84883119
132240.00000000,-5667387.88568639,-537056.15081848,3821353.07475404,-4291.28584385,877.12460638,-6241.06586699,5667387.88568635,537056.15081849,-3821353.07475410,4291.28584385,-877.12460638,6241.06586699
132300.00000000,-5912063.29802088,-483272.68922430,3438663.86056175,-3861.53523580,914.99228529,-6510.50840299,5912063.29802084,483272.68922430,-3438663.86056181,3861.53523580,-914.99228529,6510.50840299
132360.00000000,-6130428.36459545,-427338.52813502,3040671.62430013,-3414.59970903,948.78799099,-6750.97734406,6130428.36459541,427338.52813503,-3040671.62430019,3414.59970903,-948.78799099,6750.97734406
132420.00000000,-6321511.29939995,-369502.59031145,2629147.54344462,-2952.46825244,978.36132307,-6961.40253574,6321511.29939992,369502.59031146,-2629147.54344469,2952.46825244,-978.36132307,6961.40253574
132480.00000000,-6484461.72958983,-310022.26195617,2205923.01598797,-2477.19748109,1003.58067188,-7140.84752670,6484461.72958980,310022.26195618,-2205923.01598804,2477.19748109,-1003.58067188,7140.84752670
132540.00000000,-6618554.47988480,-249162.24727238,1772881.51020311,-1990.90248368,1024.33380423,-7288.51373620,6618554.47988478,249162.24727239,-1772881.51020318,1990.90248368,-1024.33380423,7288.51373620
132600.00000000,-6723192.79980253,-187193.39045589,1331950.18268027,-1495.74740984,1040.52836282,-7403.74400806,6723192.79980252,187193.39045590,-1331950.18268035,1495.74740984,-1040.52836282,7403.74400806
132660.00000000,-6797911.01936655,-124391.47036208,885091.30193722,-993.93583901,1052.09227731,-7486.02553514,6797911.01936655,124391.47036209,-885091.30193729,993.93583901,-1052.09227731,7486.02553514
132720.00000000,-6842376.62146874,-61035.97321235,434293.51577140,-487.70097393,1058.97408504,-7534.99214147,6842376.62146873,61035.97321236,-434293.51577147,487.70097393,-1058.97408504,7534.99214147
132780.00000000,-6856391.72166384,2591.15119813,-18436.99878132,20.70429775,1061.14316001,-7550.42591188,6856391.72166384,-2591.15119812,18436.99878125,-20.70429775,-1061.14316001,7550.42591188
132840.00000000,-6839893.94881113,66206.74425642,-471085.46349977,529.01742948,1058.58984925,-7532.25816175,6839893.94881114,-66206.74425641,471085.46349970,-529.01742948,-1058.58984925,7532.25816175
132900.00000000,-6792956.72264348,129527.69866741,-921637.46530818,1034.97628475,1051.32551568,-7480.56974267,6792956.72264349,-129527.69866740,921637.46530811,-1034.97628475,-1051.32551568,7480.56974267
132960.00000000,-6715788.92702886,192272.21836083,-1368087.92098028,1536.32920424,1039.38248766,-7395.59068265,6715788.92702888,-192272.21836082,1368087.92098021,-1536.32920424,-1039.38248766,7395.59068265
133020.00000000,-6608733.98037844,254161.07256315,-1808450.00032457,2030.84502633,1022.81391500,-7277.69916245,6608733.98037846,-254161.07256314,1808450.00032449,-2030.84502633,-1022.81391500,7277.69916245
