t,x_1,y_1,z_1,v_x_1,v_y_1,v_z_1,x_2,y_2,z_2,v_x_2,v_y_2,v_z_2
3240.00000000,-6139323.41449463,424857.93781418,-3023021.30703760,3394.77883534,950.16465116,-6760.77279012,-6148227.23484106,266642.31442953,-3023021.30703760,3369.18859848,1037.25811304,-6760.77279012
3300.00000000,-5922126.92538784,480880.15690157,-3421640.10851283,3842.41797949,916.54980268,-6521.59071507,-5932545.20868601,328238.31677907,-3421640.10851283,3817.54484792,1015.18018301,-6521.59071507
3360.00000000,-5678575.30454661,534762.32393617,-3805031.64840725,4272.95728209,878.85604961,-6253.38572569,-5690461.68650338,388373.56622885,-3805031.64840725,4248.91194826,988.58441543,-6253.38572569
3420.00000000,-5409752.42523679,586264.64810831,-4171489.72645410,4684.48072207,837.25113973,-5957.35140968,-5423054.00810677,446780.44399239,-4171489.72645410,4661.37019447,957.58916893,-5957.35140968
3480.00000000,-5116854.62493759,635157.92957893,-4519383.50105817,5075.15690428,791.92022662,-5634.80520306,-5131512.21293296,503199.02302371,-4519383.50105817,5053.08403128,922.33238110,-5634.80520306
3540.00000000,-4801185.38130304,681224.57948337,-4847164.74699991,5443.24720974,743.06504560,-5287.18252725,-4817133.74403153,557378.22476584,-4847164.74699991,5422.31022183,882.97095456,-5287.18252725
3600.00000000,-4464149.51131956,724259.58826306,-5153374.74547343,5787.11353300,690.90301598,-4916.03040099,-4481317.67407799,609076.93652106,-5153374.74547343,5767.40560567,839.68005874,-4916.03040099
3660.00000000,-4107246.91947494,764071.43801575,-5436650.77579581,6105.22557213,635.66627346,-4523.00055572,-4125558.47910667,658065.08447030,-5436650.77579581,6086.83441120,792.65235032,-4523.00055572
3720.00000000,-3732065.92276118,800482.95480409,-5695732.17989767,6396.16763900,577.60063710,-4109.84208487,-3751439.38767165,704124.65756635,-5695732.17989767,6379.17509032,742.09711582,-4109.84208487
3780.00000000,-3340276.18221684,833332.09712954,-5929465.97260644,6658.64495954,516.96451533,-3678.39365994,-3360625.33503409,747050.67774444,-5929465.97260644,6643.12664472,688.23934028,-3678.39365994
3840.00000000,-2933621.27246541,862472.67706260,-6136811.97275490,6891.48943578,454.02775596,-3230.57534786,-2954855.55373168,786652.11213226,-6136811.97275490,6877.51441570,631.31870595,-3230.57534786
3900.00000000,-2513910.92231750,887775.01082031,-6316847.43228018,7093.66484426,389.07044527,-2768.38006616,-2535935.83350429,822752.72320008,-6316847.43228018,7081.29531169,571.58852569,-2768.38006616
3960.00000000,-2083012.96096824,909126.49589554,-6468771.14271235,7264.27144752,322.38166159,-2293.86471394,-2105730.48502135,855191.85306732,-6468771.14271235,7253.56245036,509.31461560,-2293.86471394
4020.00000000,-1642845.00563159,926432.11216982,-6591907.00077761,7402.54999814,254.25818878,-1809.14101809,-1666154.04317463,883825.13847532,-6591907.00077761,7393.54919445,444.77411211,-1809.14101809
4080.00000000,-1195365.92760404,939614.84477970,-6685707.01724821,7507.88511765,185.00319545,-1316.36613548,-1219162.74685909,908525.15324456,-6685707.01724821,7500.63256353,378.25423863,-1316.36613548
4140.00000000,-742567.13473588,948616.02685447,-6749753.75564872,7579.80803513,114.92488584,-817.73305304,-766745.83315910,929181.97535691,-6749753.75564872,7574.33600649,310.05102732,-817.73305304
4200.00000000,-286463.70910585,953395.60060032,-6783762.18996585,7617.99867334,44.33512813,-315.46082836,-310916.68468361,945703.67613967,-6783762.18996585,7614.33152225,240.46800166,-315.46082836
4260.00000000,170914.56066139,953932.29556876,-6787580.97309445,7622.28707320,-26.45193337,188.21528581,146296.13055324,958016.72937393,-6787580.97309445,7620.44111951,169.81482572,188.21528581
4320.00000000,627532.21252592,950223.72331612,-6761193.11037472,7592.65415011,-97.12127633,691.05378898,602857.88683079,966066.33850701,-6761193.11037472,7592.63760885,98.40592600,691.05378898
4380.00000000,1081357.16941159,942286.38803278,-6704716.03522321,7529.23177894,-167.35840227,1190.81690828,1056736.75582396,969816.68051254,-6704716.03522321,7531.04472370,26.55909221,1190.81690828
4440.00000000,1530369.78252096,930155.61309489,-6618401.08652111,7432.30220707,-236.85073621,1685.28055715,1505912.84881127,969251.06531296,-6618401.08652111,7435.93656975,-45.40593701,1685.28055715
4500.00000000,1972571.81934095,913885.38386541,-6502632.39008543,7302.29679840,-305.28901771,2172.24423318,1948387.20574816,964372.01005512,-6502632.39008543,7307.73640506,-117.16889703,2172.24423318
4560.00000000,2405995.35633995,893548.10744404,-6357925.14920102,7139.79411357,-372.36867715,2649.54081095,2382190.69120186,955201.22790824,-6357925.14920102,7147.01475643,-188.41042248,2649.54081095
4620.00000000,2828711.53678147,869234.29043523,-6184923.35182094,6945.51733529,-437.79119116,3115.04618633,2805392.75755831,941779.53143419,-6184923.35182094,6954.48688045,-258.81346852,3115.04618633
4680.00000000,3238839.15467952,841052.13616834,-5984396.90463880,6720.33104989,-501.26541115,3566.68872939,3216110.03650243,924166.65096013,-5984396.90463880,6731.00958035,-328.06472178,3566.68872939
4740.00000000,3634553.02669477,809127.06316238,-5757238.20678727,6465.23739972,-562.50885897,4002.45850367,3612514.72053725,902440.96876171,-5757238.20678727,6477.57739303,-395.85599468,4002.45850367
4800.00000000,4014092.11471415,773601.14697825,-5504458.17841072,6181.37162335,-621.24898403,4420.41621103,3992842.69724178,876699.17023989,-5504458.17841072,6195.31816305,-461.88559698,4420.41621103
4860.00000000,4375767.36296609,734632.48794253,-5227181.76178609,5869.99700336,-677.22437625,4818.70182203,4355401.40006777,847055.81364371,-5227181.76178609,5885.48802342,-525.85967837,4818.70182203
4920.00000000,4717969.21479422,692394.50755656,-4926642.91501307,5532.49924446,-730.18592937,5195.54285358,4698577.34073729,813642.82025381,-4926642.91501307,5549.46580550,-587.49353618,5195.54285358
